date,perc_pos_rev_weighted,perc_neg_rev_weighted,perc_uncert_rev_weighted,perc_litig_rev_weighted,perc_modal_wk_rev_weighted,perc_modal_mod_rev_weighted,perc_constrain_rev_weighted,perc_modal_str_rev_weighted_diff
2011-02-01,2.0553107980000003,0.93588036,0.887691462,0.064782495,0.390423476,0.5567285439999999,0.11586780599999999,0.011286073999999924
2011-03-01,1.9607048390000001,0.979452392,0.957424913,0.073102265,0.387478896,0.560045154,0.142131806,-0.0495581759999999
2011-04-01,1.938265146,0.9964679909999999,0.923576782,0.078600874,0.333085664,0.5458953670000001,0.133148769,-0.015393164000000126
2011-05-01,1.876115903,0.98100229,0.8986217609999999,0.09635982,0.310097927,0.529552778,0.12333862,-0.008993103999999974
2011-06-01,1.8686792540000001,0.9155976229999999,0.822218221,0.094032129,0.309481224,0.549874991,0.102769278,-0.018449336999999955
2011-07-01,1.824810715,0.9235599440000001,0.831091565,0.09271743,0.32475764,0.594483122,0.10324014699999999,-0.07461695199999996
2011-08-01,1.815619615,0.891614565,0.838118743,0.09313716300000001,0.29806673899999997,0.6261038879999999,0.105362245,-0.01722085800000006
2011-09-01,1.8743816309999999,0.9140356209999999,0.8463070690000001,0.097032983,0.305152301,0.617658065,0.104452621,0.031430730999999934
2011-10-01,1.92026845,0.960474347,0.807497798,0.092665342,0.30242265399999996,0.579056543,0.079049482,0.01217264600000001
2011-11-01,1.9677277569999998,0.9085724820000001,0.822493475,0.081803816,0.314349469,0.544810854,0.074838735,0.013353315000000032
2011-12-01,1.9820238069999998,0.913389735,0.8413140259999999,0.096363289,0.33788672299999994,0.5095520339999999,0.081059206,-0.03103414399999993
2012-01-01,2.302206468,0.884065291,0.848670012,0.07596232900000001,0.359205221,0.520380238,0.132868589,0.08933188299999995
2012-02-01,2.377795755,0.870930408,0.830056419,0.078566542,0.34864413299999997,0.508958325,0.126335168,0.03279086200000003
2012-03-01,2.371251956,0.860870888,0.833503488,0.100916252,0.348914204,0.5423431439999999,0.1286652,-0.029095476000000065
2012-04-01,2.2366804,0.883910546,0.815586638,0.096340991,0.356352715,0.552887754,0.119936427,-0.032221904999999995
2012-05-01,2.0924767419999997,0.9196483990000001,0.7735482770000001,0.09356814,0.34169065200000004,0.6076096520000001,0.079557888,-0.05744190100000002
2012-06-01,1.765076488,1.075931025,0.8879670940000001,0.09875258199999999,0.421772518,0.71551514,0.072468424,-0.0037505299999999187
2012-07-01,1.730147532,1.092464677,0.8548903859999999,0.09052654800000001,0.413368835,0.695123265,0.070903651,0.03514490800000003
2012-08-01,2.0302191019999998,0.9414731890000001,0.8229397390000001,0.085240364,0.354378897,0.608058701,0.069890062,0.051806291999999976
2012-09-01,2.148520822,0.9168523479999999,0.790573665,0.08626564699999999,0.32729685199999997,0.60176945,0.08327625400000001,-0.05452795799999999
2012-10-01,1.9846171590000001,0.887065471,0.8734447340000001,0.10730040800000001,0.347035858,0.531949827,0.073537143,0.044957146
2012-11-01,1.970365084,0.932312707,0.856488118,0.09882052,0.342740825,0.581981294,0.081960748,-0.014614303000000106
2012-12-01,1.979484449,0.852902963,0.831706781,0.10217652599999999,0.320429791,0.557167856,0.080451256,0.058155919000000056
2013-01-01,1.978934612,0.925333526,0.820540733,0.07909896799999999,0.31757186800000003,0.590565215,0.102554453,0.044078447000000076
2013-02-01,2.018780192,0.93139165,0.8481081859999999,0.092856145,0.34480415,0.600462343,0.094840971,-0.047296263000000116
2013-03-01,2.117393079,0.9028928629999999,0.815093865,0.096362394,0.320785671,0.529038146,0.091034595,0.03906147500000001
2013-04-01,2.08800312,0.922282332,0.807711108,0.098295225,0.330245638,0.583514639,0.072167692,-0.05974874099999994
2013-05-01,2.057930738,1.004257218,0.776222327,0.10588743699999999,0.317394117,0.54843743,0.071371382,-0.01283578299999999
2013-06-01,2.1408815,0.978440623,0.722320005,0.11395205300000001,0.274354516,0.530597722,0.07073473,-0.06816892500000005
2013-07-01,2.270306684,0.9375127000000001,0.75265479,0.09681997099999999,0.307920979,0.534092938,0.074477853,-0.093304536
2013-08-01,2.224913011,0.9504601970000001,0.764478165,0.09211646300000001,0.30344653,0.537382399,0.075152968,0.03228193400000001
2013-09-01,2.570393449,1.183363774,1.020709288,0.09102812199999999,0.434920143,0.700267668,0.08237446799999999,0.15578206799999994
2013-10-01,1.95571313,1.056411054,0.847064789,0.09901501,0.352643705,0.594619079,0.11026383599999999,-0.05443648400000001
2013-11-01,1.991042076,1.0604342390000001,0.878831246,0.114561194,0.348788809,0.590493777,0.107652119,0.034129535000000044
2013-12-01,2.0141146169999997,1.0360290109999999,0.8870402140000001,0.104271067,0.35974446299999996,0.576193168,0.112719032,0.019203683000000082
2014-01-01,2.0822037719999997,1.082939919,0.872214432,0.087070146,0.34262831299999996,0.584906835,0.11071704,0.04173681699999998
2014-02-01,2.129082812,1.057038434,0.815458501,0.10715873,0.316815601,0.605447474,0.11821797199999999,0.01415099799999997
2014-03-01,2.135516336,1.156519558,0.7705030559999999,0.11024828,0.282897087,0.613912051,0.11518526,-0.06628230999999996
2014-04-01,2.106696473,1.144190933,0.8273031129999999,0.108433185,0.332385903,0.583720654,0.104011567,-0.07925249200000006
2014-05-01,2.162298683,1.147400169,0.8027429640000001,0.111969416,0.32069581399999997,0.5713208710000001,0.10050512800000001,0.023248692000000015
2014-06-01,2.163335118,1.059732708,0.86539052,0.116454969,0.35182601,0.579250257,0.112811835,0.007376391999999954
