month_date,ur,pi_gr,nyse_gr,gdp_log_diff,tb_sqrt_diff,ics_log_diff,pce_gr_diff
2010-12-01,9.3,0.009344818737436977,0.0717379070486206,0.0,0.0,0.03970405141891398,-0.00124026975161029
2011-01-01,9.1,0.002028679786119758,0.016528644263536174,-0.0024113163305852225,0.013132595943347536,-0.004034975212179326,-0.004803188602163777
2011-02-01,9.0,0.00537376777672649,0.03678385039599941,-0.0024113163305852225,-0.026743207074342745,0.04351378618596691,0.004506907592697118
2011-03-01,9.0,0.0009787907493574721,-0.003978092993296545,0.0,-0.044327361529561016,-0.13815033848081715,0.004363405278821508
2011-04-01,9.1,-0.0041941176479589615,0.024966567823621943,0.007123290957014028,-0.07127879173852014,0.03350641188984227,-0.010711137731020504
2011-05-01,9.0,0.0020189510664603283,-0.022387348627204484,0.007123290957014028,-0.04494897427831779,0.06247694195538678,0.0053367103179216
2011-06-01,9.1,0.0045123222933851626,-0.01865936473451768,0.0,0.0,-0.03841350202375171,3.239443717029111e-05
2011-07-01,9.0,-0.001663016025394981,-0.035026562740642087,-0.0002665151430898405,0.0,-0.11551288712184427,-0.004937783404290519
2011-08-01,9.0,0.0013252807624064555,-0.06820396067428314,-0.0002665151430898405,-0.05857864376269051,-0.1324106931908524,0.004764234663367395
2011-09-01,9.0,-0.0003434470259970901,-0.09786159075099754,0.0,-0.0414213562373095,0.06420244316431933,0.0013410479363473726
2011-10-01,8.8,0.000329373826419177,0.11193684045545238,0.01151598101010709,0.0414213562373095,0.021613476420537125,-0.00362941468293132
2011-11-01,8.6,0.0018652033657555744,-0.010429184246061318,0.01151598101010709,-0.0414213562373095,0.046594773605995954,0.0007201158076434178
2011-12-01,8.5,0.009642597756231996,-0.000998091408923929,0.0,0.0,0.09288108666164696,0.0005851755266559344
2012-01-01,8.3,0.004749859880197382,0.041828862505185915,0.007805191988730975,0.07320508075688772,0.07042246429654586,0.0009011147684583332
2012-02-01,8.3,0.00844851563571325,0.0350527467148436,0.007805191988730975,0.12679491924311226,0.00399202126953746,0.006333111953314319
2012-03-01,8.2,0.005360777324331378,0.011547723370025187,0.0,-0.017157287525380982,0.011881327886753112,-0.008569781178171199
2012-04-01,8.2,0.0012573749841127135,-0.014605873099372113,0.004288147846894574,0.0,0.0026212334798740855,-0.0012486240772193735
2012-05-01,8.2,-0.0003450733481973334,-0.0806866919830358,0.004288147846894574,0.017157287525380982,0.037255432468327854,0.000392868986310857
2012-06-01,8.2,0.00035322038281493384,0.04526817994819066,0.0,0.0,-0.08004270767353638,-0.0010221199689295357
2012-07-01,8.2,-0.011799025719842038,0.0028092603094722612,0.0013520798737944872,0.016227766016837952,-0.012371291802547368,-0.00026697757574334346
2012-08-01,8.1,-0.0005009128476060054,0.019201594736651284,0.0013520798737944872,0.0,0.027286822558994395,0.004750587999947542
2012-09-01,7.8,0.007929707665495389,0.029453759232709098,0.0,0.015434713018702029,0.05243665127304453,0.0027657038359960584
2012-10-01,7.8,0.005377843314800401,-0.00865170514677105,0.0011407013477660044,-0.015434713018702029,0.053462077530174845,-0.006853917622619887
2012-11-01,7.7,0.01343608158761933,0.004747280952837052,0.0011407013477660044,-0.016227766016837952,0.0012099215027125965,0.004971072972042689
2012-12-01,7.9,0.025364730446442607,0.02216350534875633,0.0,-0.035424868893540906,-0.1261309630150329,-0.0030011601994903714
2013-01-01,8.0,-0.059589232203483444,0.049250389397447636,0.008814706852838583,0.0,0.012270092591814219,0.0012630197828871204
2013-02-01,7.7,-0.0013913044895370597,-0.0029219877974996367,0.008814706852838583,0.05165263491037886,0.05020869558274654,0.0016896406880102521
2013-03-01,7.5,0.00020250575176095076,0.026872008482770493,0.0,-0.016227766016837952,0.012804272245987569,-0.00439703257726165
2013-04-01,7.6,0.0002947862995377193,0.015716799454861707,0.0012308183100406822,-0.05505102572168219,-0.028389003262685897,-0.003693923827874479
2013-05-01,7.5,0.006377602583544917,0.002736873640887705,0.0012308183100406822,-0.04494897427831779,0.1007688381906533,0.0083043763301347
2013-06-01,7.5,0.0032167241892693266,-0.020379876085531823,0.0,0.023606797749978953,-0.004744967384225696,-0.0013461684228477377
2013-07-01,7.3,-0.004643068056455757,0.04394577026467217,0.007799995034095453,-0.023606797749978953,0.011820468600426182,-0.0044664642485661155
2013-08-01,7.2,0.003717650106092485,-0.03014698660832571,0.007799995034095453,0.0,-0.035889019120945775,0.005191265824330493
2013-09-01,7.2,0.0044526225887557835,0.03781608562376482,0.0,-0.05857864376269051,-0.05766008009908141,0.0004507377656139955
2013-10-01,7.2,-0.006844162687184574,0.03429014874404124,0.007956570101881333,0.08218544151266946,-0.05708251539203513,-0.004543945808808902
2013-11-01,6.9,0.00469137016913157,0.017342364592158432,0.007956570101881333,0.04096833335648012,0.02562513780282316,0.007153318206020942
2013-12-01,6.7,0.005104016122893906,0.02131836649532093,0.0,0.0,0.09397773457054548,-0.0032994292233397005
2014-01-01,6.6,0.0037197167604205994,-0.04512241374110204,-0.002522043742651192,-0.06457513110645907,-0.015883046173002846,-0.006778388712307848
2014-02-01,6.7,0.0072099064486566,0.04596970642819587,-0.002522043742651192,0.023606797749978953,0.004914014802428923,0.008805257060615634
2014-03-01,6.7,0.008033715187526491,0.009774653586083426,0.0,0.0,-0.019802627296179764,0.0019755413005426714
2014-04-01,6.3,-0.0016373604373284278,0.003163128786828784,0.012464290344158968,-0.05040171699309123,0.04997993230502118,-0.007772799208756953
2014-05-01,6.3,0.004207530685852667,0.012151838190828768,0.012464290344158968,0.0,-0.02650757611987853,0.005046422577177467
